VOLUME 1	VARIOUS CP/M UTILITY PROGRAMS
NUMBER	SIZE	NAME		COMMENTS
21.12	6K	FURS.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.13	6K	HORSE.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.14	8K	KING.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.15	3K	LANDER.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.16	2K	MANDALA.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.17	4K	MAZE.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.18	3K	ROCKET.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.19	3K	RUSSIAN.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.20	4K	SNOOPY.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.21	21K	STRTRK/2.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.22	20K	STRTRK/3.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.23	1K	TACOS.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.24	5K	TAXMAN.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.25	16K	TRADE.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.26	2K	TRAP.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.27	4K	W/SEARCH.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.28	3K	WARI.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP
21.29	7K	WUMP.ASC	PROGRAM IN MICROSOFT BASIC. SEE ZOSO21.DOC/TOP

VOLUME 22	MONSTROUS STARTREK GAMES

22.1	48K	BIGTREK.ASC	22.3 TRIMMED TO LOAD UNDER TDL DISK BASIC
				WITH 64K MEMORY
22.2	39K	BIGTREK.BAS	COMPACTED VERSION OF 22.1 FOR MUCH FASTER LOAD
22.3	54K	STARTREK.TXT	STARTING POINT OF BIGTREK. 
22.4	21K	STRTRK/2.ASC	A SECOND APPEARENCE OF PROGRAM 21.21 
22.5	5K	TREKINFO.DOC	DETAILED RULES AND FEATURES OF 
22.6	42K	TREKMOD.ASC	BIGTREK TRIMMED SOME MORE 

VOLUME 23	STOIC (STACK ORIENTED INTERACTIVE COMPILER)

23A.1	13K	ASSEMBL.DOC	STOIC 8080 ASSEMBLER
23A.2	8K	DICT.DOC	STOIC DICTIONARY DEFINITIONS
23A.3	8K	EDIT.DOC	STOIC DISPLAY EDITOR DOC
23A.4	9K	FILES.DOC	STOIC FILE SYSTEM DOC
23A.5	5K	FLOATPNT.DOC	FLOATING POINT DOC
23A.6	2K	INTRRUPT.DOC	INTERRUPT HANDLER DOC
23A.7	38K	KERNEL.ASM	STOIC KERNEL WITH CP/M WORDS IN 8080 ASSEMBLER
23A.8	24K	KERNEL.DOC	STOIC KERNEL DOC
23A.9	46K	STOIC.DOC	OVERVIEW OF STOIC CONCEPTS AND STRUCTURE
23A.10	23K	STOICBAS.STC	BASIC DEFINTIONS
23A.11	4K	STOICD/A.STC	GRAPHICS FOR D/A HARDWARE
23A.12	9K	STOICEDT.STC	EDITOR
23A.13	3K	STOICFFT.STC	FAST FOURIER TRANSFORM
23A.14	8K	STOICFLE.STC	FILE SYSTEM
23A.15	11K	STOICFLT.STC	FLOATING POINT PACKAGE
23A.16	5K	STOICINT.STC	4 BYTE INTEGER ADDITION
23A.17	3K	STOICITP.STC	INTERRUPT PACKAGE
23A.18	3K	STOICMIS.STC	MISCELLANEOUS WORDS
23A.19	2K	STOICSIN.STC	INTEGER SINE AND COSINE
23A.20	2K	STOICSRT.STC	SORT ROUTINE


23B.1	1K	BOOT.ASM	STOIC BOOTSTRAP IN 8080 ASSEMBLER
23B.2	2K	BOOT.DOC	BOOT DOC
23B.3	6K	LOAD.DOC	INFORMATION ON LOADING STOIC 
23B.4	13K	STOIC.COM	CP/M STOIC CONSTRUCTED AS DESCRIBED

VOLUME 24 	CP/M UTILITIES, MACRO LIBRARIES AND RATFOR

24.1	19K	DUMP.ASM	REVISION OF 14.7 
24.2	3K	DUMP.COM	ASSEMBLY OF 24.1
24.3	3K	MAC40.LIB	LIBRARY OF MACROS TO CROSS-ASSEMBLE 4004/4040
24.4	17K	MACRO.LIB	EXTENSIVE MACRO LIBRARY 
24.5	3K	OPCODE.LIB	EXTENDED REGISTER OPERATION MACRO LIBRARY
24.6	32K	RATFOR.COM	PRE-PROCESSOR TO TRANSLATE FROM RATFOR
24.7	5K	TAPELIB.COM	OBJECT OF 24.9
24.8	12K	TAPELIB.DOC	DESCRIPTION OF 24.9
24.9	37K	TAPELIB.MAC	PIP-LIKE PROGRAM 
24.10	11K	XDIR.ASM	DIRECTORY PROGRAM
24.11	2K	XDIR.COM	OBJECT OF 24.10

VOLUME 25	VARIOUS ASSEMBLER UTILITIES

25.1	2K	88-MODEM.DOC	NOTES ON 25.2 BELOW
25.2	32K	88-MODEM.ASM	INTELLIGENT TERMINAL PROGRAM FOR THE IDS 88
25.3	3K	BKSPACE.DOC	NOTES ON BACKSPACE HANDLING IN CP/M 1.4
25.4	4K	FRAGMENT.DOC	PAGING AND SCREEN COPY CODE FOR MEMORY MAPPED
25.5	5K	LETTER.ASM	PERSONALIZED FORM LETTER GENERATOR.  FOR MAC
25.6	3K	LETTER.DOC	DOCUMENTATION FOR LETTER
25.7	6K	MYMAC.LIB	MACRO LIBRARY NEEDED TO ASSEMBLE LETTER.
25.8	2K	NAMES.DAT	SAMPLE NAME FILE FOR LETTER
25.9	9K	DCHAYES.ASM	PROGRAM IN DCHAYES MODEM MANUAL
25.10	7K	DCHDIAG.ASM	DIAGNOSTIC FOR DCHAYES MODEM
25.11	13K	MODEM.ASM	INTELLIGENT TERMINAL PROGRAM FOR CACHE
25.12	3K	MODEM.DOC	DOCUMENTATION FOR 25.11
25.13	26K	CBIOS24.ASM	BIOS FOR TARBELL DISK CONTROLLER. SEE
25.14	2K	SBOOT24.ASM	BOOT FOR TARBELL DISK CONTROLLER..TARBELL.DOC
25.15	26K	FBIOS24.ASM	BIOS FOR DUAL PERSCI DISK CONTROLLER.
25.16	2K	FBOOT24.ASM	BOOT FOR DUAL PERSCI DISK CONTROLLER.
25.17	9K	COPY.ASM	PROGRAM 1.3 MODIFIED FOR TARBELL CONTROLLER
25.18	9K	FORMAT.ASM	DISK FORMATTER FOR TARBELL CONTROLLER
25.19	3K	TARBELL.DOC	NOTES ON 25.13 THRU 25.18
25.20	3K	NOTES.VAN	NOTES ON CP/M OPERATION AND FEATURES    
25.21	5K	CAT.ASM		MASTER DISK CATALOG SYSTEM PROGRAM
25.22	8K	UCAT.ASM	MASTER DISK CATALOG SYSTEM PROGRAM
25.23	5K	QCAT.ASM	MASTER DISK CATALOG SYSTEM PROGRAM
25.24	7K	CATALOG.DOC	DOCUMENTATION FOR 25.21 THRU 25.23
25.25	13K	STOIC.COM	CP/M STOIC 
25.26	7K	BOOT.ASM	STOC BOOTSTRAP IN 8080 ASSEMBLER
25.27	2K	BOOT.DOC	BOOT DOCUMENTATION
25.28	6K	LOAD.DOC	INFORMATION ON LOADING STOIC 
25.29	1K	STATPCH.ASM	DEVICE NAME PATCHES FOR STAT 1.4
25.30	3K	TTYDRV.MAC	TTY DRIVERS FROM MICROSOFT FORTRAN

VOLUME 26	MICROSOFT BASIC AND FORTRAN GAMES AND UTILITIES

26.1	4K	BACCRRT.ASC	MICROSOFT BASIC GAME. 
26.2	14K	BASEBALL.ASC	MICROSOFT BASIC GAME
26.3	7K	BIOCAL.ASC	BIORHYTHM PROGRAM.  SEE ZOSO26.DOC.
26.4	6K	BIRTHDAY.ASC	GIVES DAY OF WEEK FOR ANY DATE
26.5	8K	BLACKJACK.ASC	MICROSOFT BASIC GAME.  SEE ZOSO26.DOC 
26.6	10K	BUDGET.ASC	BUDGET PROGRAM.  SEE ZOSO26.DOC
26.7	3K	CHASE.ASC 	MICROSOFT BASIC GAME
26.8	12K	CHESS.ASC	MICROSOFT BASIC GAME
26.9	9K	CIVILWAR.ASC	MICROSOFT BASIC GAME
26.10	6K	CLIMATES.ASC	MICROSOFT BASIC GAME
26.11	6K	CLOUD-9.ASC	MICROSOFT BASIC GAME
26.12	5K	CRAPS.ASC	MICROSOFT BASIC GAME
26.13	7K	CRAZY-8.ASC	MICROSOFT BASIC GAME
26.14	1K	GALAXY.ASC	MICROSOFT BASIC GAME
26.15	2K	GALAXY2.ASC	MICROSOFT BASIC GAME
26.16	8K	SQUARE.ASC	MICROSOFT BASIC GAME
26.17	16K	SWARMS.ASC	MICROSOFT BASIC GAME
26.18	8K	WEATHER.ASC	MICROSOFT BASIC GAME
26.19	5K	WORD-PLZ.ASC	MICROSOFT BASIC GAME
26.20	12K	OTHELLO.FOR	FORTRAN VERSION OF OTHELLO ON VOL 15.
26.21	22K	OTHELLO.COM	EXECUTABLE 26.20
26.22	1K	CHAIN.ASC	PROGRAM TO COPY FROM CONSOLE TO XXX.SUB FILE.
26.23	2K	EDITM.FOR	FORTRAN IV PROGRAM.  WRITES M80 PRN FILE

VOLUME 27	MICROSOFT BASIC GAMES

27.1	6K	ANTONYMS.ASC	MICROSOFT BASIC GAME
27.2	4K	DISSAMBR.ASC	DISASSEMBLER.  SEE ZOSO27.DOC
27.3	8K	DOTS.ASC	MICROSOFT BASIC GAME
27.4	3K	DRAGRACE.ASC	MICROSOFT BASIC GAME
27.5	8K	FOOTBALL.ASC	MICROSOFT BASIC GAME
27.6	10K	GOLF.ASC	MICROSOFT BASIC GAME
27.7	2K	GREEKRTS.ASC	MICROSOFT BASIC GAME
27.8	6K	HANGMN-1.ASC	MICROSOFT BASIC GAME
27.9	6K	HANGMN-2.ASC	MICROSOFT BASIC GAME
27.10	6K	HANGMN-3.ASC	MICROSOFT BASIC GAME
27.11	3K	HIDESEEK.ASC	MICROSOFT BASIC GAME
27.12	5K	IQUEEN.ASC	MICROSOFT BASIC GAME
27.13	2K	MASTERMD.ASC	MICROSOFT BASIC GAME
27.14	5K	MAZE.ASC	MICROSOFT BASIC GAME
27.15	7K	MEMBRAIN.ASC	MICROSOFT BASIC GAME
27.16	2K	NIM.ASC		MICROSOFT BASIC GAME
27.17	7K	ROULETTE.ASC	MICROSOFT BASIC GAME
27.18	9K	SHOP.ASC	MICROSOFT BASIC GAME
27.19	4K	SNOOPY.ASC	GENERATES SNOOPY PICTURE
27.20	7K	STARTREK.ASC	MICROSOFT BASIC GAME
27.21	8K	SYNONYMS.ASC	MICROSOFT BASIC GAME
27.22	11K	BLUFF.INT	MICROSOFT BASIC GAME
27.23	12K	RUN.COM		RUN PROGRAM TO EXECUTE BLUFF.INT.  
27.24	46K	MEGATREK.ASC	22.1 TRIMMED TO RUN UNDER MICROSOFT BASIC
27.25	1K	MEGATREK.DOC	NOTE ON MEGATREK

VOLUME 28	BASIC-E UTILITIES AND GAMES INCLUDING A DATA BASE SYSTEM AND 
		AN ALGOL-LIKE LANGUAGE.  UPDATED PROGRAMS FOR THE CACHE MAILLIST

28.1	6K	DATABASE.DOC	DOCUMENTATION FOR INITIAL MODULES OF DB
28.2	6K	DBENTRY.BAS	D.B. SYSTEM FILE LOAD UTILITY
28.3	7K	DBQUERY.BAS	D.B. SYSTEM QUERY AND UPDATE MODULE
28.4	7K	DBSETUP.BAS	D.B. SYSTEM FILE INITIALIZATION MODULE
28.5	1K	INV.		SAMPLE FILE DEFINITION FOR INVENTORY DATA BASE
28.6	1K	INV.IND		SAMPLE PART # INDEX FOR INVENTORY FILE
28.7	23K	MAILLIST.DOC	DOCUMENTATION FOR CACHE MAILING LIST SYSTEM
28.8	11K	MAINT.BAS	UPDATED MAILLIST PROGRAM.  HANDLES MORE DATA
28.9	11K	REPORT.BAS	IMPROVED MAILLIST REPORT PROGRAM.
28.10	14K	ALGOLM.COM	ALGOLM COMPILER BY LT. MARK S. MORANVILLE
28.11	14K	RUNALG.COM	ALGOLM INT FILE INTERPRETER
28.12	9K	ALGINTRO.TXT	ALGOLM INTRODUCTION
28.13	3K	ALGSTART.TXT	ALGOLM RUN INSTRUCTIONS
28.14	2K	COMERR.TXT	ALGOLM COMPILE ERRORS DOCUMENTATION
28.15	2K	RUNERR.TXT	ALGOLM RUN TIME ERRORS DOCUMENTATION
28.16	25K	USRMAN.TXT	ALGOLM USER MANUAL
28.17	3K	ARRAY.ALG	SAMPLE ALGOLM PROGRAM
28.18	1K	BOOLINT.ALG	SAMPLE ALGOLM PROGRAM
28.19	1K	CASETEST.ALG	SAMPLE ALGOLM PROGRAM
28.20	1K	CASETWO.ALG	SAMPLE ALGOLM PROGRAM
28.21	1K	FLYTEST.ALG	SAMPLE ALGOLM PROGRAM
28.22	1K	GOTOTEST.ALG	SAMPLE ALGOLM PROGRAM
28.23	1K	HANOI.ALG	SAMPLE ALGOLM PROGRAM
28.24	2K	LUNAR.ALG	SAMPLE ALGOLM PROGRAM
28.25	2K	PERM.ALG	SAMPLE ALGOLM PROGRAM
28.26	2K	READWORD.ALG	SAMPLE ALGOLM PROGRAM
28.27	1K	RWINT.ALG	SAMPLE ALGOLM PROGRAM
28.28	1K	SIISTR.ALG	SAMPLE ALGOLM PROGRAM
28.29	2K	SORT.ALG	SAMPLE ALGOLM PROGRAM
28.30	1K	STRING.ALG	SAMPLE ALGOLM PROGRAM
28.31	1K	STRTST.ALG	SAMPLE ALGOLM PROGRAM
28.32	1K	BLKTEST.ALG	SAMPLE ALGOLM PROGRAM
28.33	1K	ONEND2.ALG	SAMPLE ALGOLM PROGRAM
28.34	1K	WFILE.OUT	SAMPLE ALGOLM PROGRAM OUTPUT
28.40	4K	ADM3.MOD	MODS FOR ADM3

VOLUME 29	ASSEMBLER GAMES AND UTILITIES AND CP/M BASIC-E VERSION 1.4 

29.1	25K	TTT.ASM		3-D TIC TAC TOE GAME
29.2	9K	CHASE.ASM	VDM/SOL GAME. 15.3 WITH CP/M I/O. 
29.3	3K	TARGET.ASM	VDM/SOL GAME.  
29.4	8K	DEFLECT.ASM	VDM GAME
29.5	8K	MUSIC.ASM	MUSIC PROGRAM
29.6	2K	MUSICP.COM	MUSIC PROGRAM W/TABLE FOR "SOUNDS OF SILENCE"
29.7	12K	PIRANHA.ASM	VDM GAME
29.8	19K	ROBIN.ASM	USES POLY VTI.  SEE VOLUME29.DOC.
29.9	3K	ROBOT.ASM	VDM GAME
29.10	2K	ALLOC.ASM	DISK ALLOCATION DISPLAY.  SEE VOLUME29.DOC.
29.11	24K	EDIT.ASM	DISASSEMBLY OF 16.5.  SEE VOLUME29.DOC.
29.12	5K	SAP.ASM		SORTS AND PACKS DIRECTORY.  IMPROVED VERSION
29.13	3K	NOTATE.ASM	ADDS COMMENTS TO ASM SOURCE. 
29.14	1K	SYMSTACK.LIB	ASSEMBLER TIME PUSH/POP LIB FOR MAC.  
29.15	2K	NCOMPARE.LIB	CORRECTED VERSION 
29.16	11K	SEQIO.LIB	CORRECTED VERSION 
29.17	1K	WHENS.LIB	MODIFICATION OF DIGITAL RESEARCH VERSION 
29.18	1K	DOWHILES.LIB	MODIFICATION OF DIGITAL RESEARCH VERSION
29.19	2K	SELECTS.LIB	MODIFICATION OF DIGITAL RESEARCH VERSION
29.20	1K	IGADD.MAC	SUBROUTINE CALLABLE FROM FORTRAN-80
29.21	1K	MON1.MAC	SUBROUTINE CALLABLE FROM FORTRAN-80
29.22	1K	MON2.MAC	SUBROUTINE CALLABLE FROM FORTRAN-80
29.23	2K	UNLOAD.ASM	CONVERTS COM FILE TO HEX.  ASSEMBLE USING MAC.
29.24	14K	FPCONV.SRC	CP/M BASIC-E FLOATING POINT CONVERSION PACKAGE
29.25	2K	FPDATA.SRC	EQUATE TABLES FOR FPCONV
29.26	8K	FPINT.SRC	INTERFACE BETWEEN INTERPRETER-FLOATING POINT
29.27	29K	FPPKG.SRC	INTERPRETER
29.28	13K	TRAN.SRC	TRANSCENDENTAL FUNCTION PACKAGE
29.29	5K	MOVE.ASM	1 DISK MOVE PROGRAM.  ASSEMBLE USING MAC.
29.30	6K	MOVENMAC.ASM	MOVE.ASM WITH MACROS EXPANDED FOR ASSEMBLY
29.31	5K	TIMESQ.ASM	SIGN GENERATOR FOR VDM.
29.32	3K	WSYSGEN.ASM	PROGRAM TO SYSGEN A STACK OF DISKS EASILY.
29.33	1K	VDM.DOC		MODIFY ED TO PAGE 16 LINES INSTEAD OF 24.

VOLUME 30	CP/M BASIC-E VERSION 1.4 PLM SOURCE

30.1	2K	BASCOM.LIT	LITERAL EQUATES
30.2	39K	BASIC.PLM	VERSION 1.4 BASIC-E COMPILER MODIFIED FOR CP/M
30.3	14K	BASPAR.PLM	PARSER MODULE
30.4	54K	BASSYN.PLM	SYMBOL TABLE AND CODE GENERATOR MODULE
30.5	12K	BASIC.COM	EXECUTABLE COMPILE MODULE
30.6	66K	RUN.PLM		RUN MODULE
30.7	12K	RUN.COM		EXECUTABLE RUN MODULE
30.8	17K	BUILD.PLM	INVOKED WHEN RUN CALLED TO BUILD

VOLUME 31	TARBELL BASIC MANUAL AND ASSEMBLER SOURCE

31.1	2K	TBASIC.TOC	TABLE OF CONTENTS OF CHAPTERS & APPENDICES
31.28	3K	TBASIC.IND	INDEX
31.29	3K	TBASIC.AD	PRODUCT DESCRIPTION
31.30	3K	TBASIC.CPM	SPECIAL INSTRUCTIONS
31.31	21K	TBASIC.COM	EXECUTABLE MODULE
31.32	43K	TBASICA4.ASM	SOURCE MODULE

VOLUME 32	TARBELL BASIC.  ASSEMBLER SOURCE

32.2	10K	RTMASM.COM	MULTI INPUT FILE ASSEMBLER
32.3	3K	RTMASM.DOC	INSTRUCTIONS FOR ASSEMBLING
32.4	26K	TBASICA1.ASM	SOURCE MODULE

VOLUME 33	SEARCH AND RESCUE PROGRAMS FROM R.A. GREGOIRE

33.1	8K	SAR.DOC		DETAILED DESCRIPTIONS OF THE SAR PROGRAMS
33.2	1K	ADDPOD.BAS	CALCULATES JOINT PROBABILITY OF DETECTION
33.3	18K	BITCASP.BAS	ENHANCED RJCASP TO USE SUMMAGRAPHICS BITPAD
33.4	22K	CAESAR.BAS	FLIGHT LOG KEEPER 
33.5	2K	CAESAR.BQ	CAESAR BRIEFING QUESTIONAIRE
33.6	2K	CAESAR.DQ	CAESAR DEBREIFING QUESTIONAIRE
33.7	4K	CAESAR.MQ	CAESAR MISSION QUESTIONAIRE
33.8	4K	CAPSERCH.BAS	GAME TO TEACH FUNDAMENTALS OF SAR
33.9	20K	CASPGAME.BAS	DEMONSTRATOR FOR BITCASP
33.10	14K	CASPPLUS.BAS	EXPANDED VERSION OF RJCASP
33.11	7K	DFELT.BAS	RE-WRITE OF N-ELT1
33.12	3K	ELTPOD.BAS	CALCULATES ELECTRONIC DISCOVERY PROBABILITIES
33.13	10K	N-ELT1.ASC	MICROSOFT BASIC VERSION - SEE 33.15
33.14	10K	N-ELT1.BAS	CBASIC VERSION - SEE 33.15
33.15	6K	N-ELT1.DOC	RADIO DIRECTION FINDING TO LOCALIZE RADIO BEACON
33.16	2K	OPT.BAS		TESTS POBABILITY OF VISUAL DETECTION
33.17	3K	RJCASP.BAS	ALLOCATION OF SEARCH RESOURCE
33.18	9K	SERCHGME.BAS	33.8 RE-WRITTEN AS STRCTURED PROGRAM
33.19	3K	VISPOD.BAS	CALCULATES VISUAL DISCOVERY PROBABILITIES

VOLUME 34	SAM76.  An interesting macro / text processing language.

34.1	1K	ABSTRACT.034	Quick look at SAM76
34.2	8K	ASTRO.FNT	Astrological signs for graphics
34.3	1K	BONUS.DOC	Function documentation
34.4	1K	BOOK.DOC	How to order SAM76 manual
34.5	1K	COPY.COM	* Disk copy program
34.6	1K	CPMSETL.COM	Part of SAM76 setup procedure
34.7	3K	DEMO.SAM	Some interesting demo programs
34.8	1K	DIRFIX.SAM	Disk directory routines
34.9	19K	EXTF.ASM	Various routines, including
34.10	1K	EXTF.DOC	..a clock driver.
34.11	1K	FRIEND.DOC	                                            
34.12	2K	G.SAM		Sets up SAM for load-and-go
34.13	1K	HOOH.SAM	Hex to octal to hex
34.14	1K	IDUMP.COM	Interpreted file dump (**)
34.15	13K	ILRAW.COM	Raw copy of SAM76.  See READ-ME.DOC and S.DOC
34.16	10K	INFO.SAM	Creates following .DOC files
34.22	1K	KSAP.COM	* Sort and pack directory
34.23	3K	LABEL.SAM	Demo prog.
34.24	1K	LOOP.SAM	Demo prog.
34.25	1K	MOVE2.SAM	Demo prog.
34.26	1K	MULT.SAM	Multiplies long decimal #'s
34.27	5K	NEWS.SAM	Random news story generator.
34.28	10K	P1UR.FNT	Used with graphics
34.29	15K	PLOT.ASM	For graphics on Poly/TRS-80
34.30	1K	PLOT.DOC	..type board, or plotter.
34.31	7K	PRINT.SAM	Print SAM files
34.32	3K	READ-ME.DOC	One user's experiences.
34.33	2K	S.DOC		Doc on creating S.COM
34.43	4K	XD.COM		* directory lister
34.44	1K	XDIR.COM	* directory lister
34.45	1K	XM.COM		* directory lister 

VOLUME 35	FELIX - GRAPHICS ANIMATION SYSTEM - with pseudo assembler, etc.

35.1	2K	BEE.FAS		Source code for a cartoon on a bee and a bird.
35.2	10K	BEE#.FEX	Executable bee story, w/background and objects.
35.3	5K	CHECKOU&.FEX	Executable checkout.
35.4	4K	CHECKOUT.FAS	Felix pseudo-machine diagnostic program
35.5	8K	CLEAR.ASM	Start of FELIX source code
35.6	1K	CREATE.ASM	FELIX source code	
35.7	1K	DISPONOF.ASM	FELIX source code
35.8	1K	DISTEST.FAS	Demo of distance operator, joystick rescaling.
35.9	5K	DISTEST&.FEX	Executable DISTANCE TEST.
35.10	11K	DISTPLUS.ASM	FELIX source code
35.11	14K	DOODLE.ASM	FELIX source code
35.12	1K	DOODLE.COM	OBJECT DRAWING UTILITY.
35.13	3K	DSKRD.ASM	FELIX source code
35.14	1K	EXEC.COM	PSEUDO-MACHINE INTERPRETER.
35.15	2K	EXEC.OBJ	The 'actual' pseudo-machine
35.16	9K	EXECPLUS.ASM	FELIX source code
35.17	2K	EXECSAFE.ASM	FELIX source code
35.18	10K	FANCY#.FEX	'PAINTER&' but with a pretty init. background
35.19	9K	FASM.COM	PSEUDO-CODE ASSEMBLER.
35.20	1K	FCBMOV.ASM	FELIX source code
35.21	1K	FCBNEW.ASM	FELIX source code
35.22	5K	FELIX.ASM	FELIX source code
35.23	1K	FELIX.COM	INITIAL SETUP ROUTINE.
35.24	7K	FELIX.DOC	SOME DETAILS ABOUT THE SYSTEM.
35.25	3K	FELIX.OBJ	The 'actual' base routines (load by FELIX.COM)
35.26	3K	FELIXV1.CAT	Author's original volume cat.
35.27	2K	GETF.ASM	FELIX source code
35.28	2K	GETW.ASM	FELIX source code
35.29	2K	HEXOUT.ASM	FELIX source code
35.30	2K	LOADBACK.COM	Utility for getting backgrounds from disk.
35.31	2K	LOADOB.COM	utility for getting objects from disk
35.32	5K	LOADPROG.ASM	Utility for getting programs from disk.
35.33	1K	LOADPROG.COM	Object of above
35.34	2K	MUSTANG.FAS	Cowboy jumps on a horse as it rides by.
35.35	6K	MUSTANG&.FEX	Executable cowboy story.
35.36	15K	NUMBER.ASM	FELIX source code
35.37	3K	OBJECT.ASM	FELIX source code
35.38	1K	OBJNULL.ASM	FELIX source code
35.39	1K	PAINT.FAS	Source code for a simple painter.Need joysticks
35.40	1K	PAINT.FEX	PAINTER for use with your own objects.
35.41	2K	PAINT.PRN	PAINT.FAS listing
35.42	6K	PAINT&.FEX	Painter for use with its own objects.
35.43	4K	PAINTER.FEX	Painter using 'Theta' (added A/D in)
35.44	6K	PAINTER&.FEX	Painter with Theta and its own objects.
35.45	11K	PARM.ASM	FELIX source code
35.46	3K	PATH.ASM	FELIX source code
35.47	3K	POSIT.ASM	FELIX source code
35.48	3K	PUTF.ASM	FELIX source code
35.49	3K	PUTW.ASM	FELIX source code
35.50	1K	RESCALE.ASM	FELIX source code
35.51	5K	ROTATE.ASM	FELIX source code
35.52	1K	SAPD.COM	????
35.53	2K	SAVEBACK.COM	Utility for saving backgrounds to disk.
35.54	2K	SAVEOB.COM	Utility for saving objects to disk
35.55	5K	SHOWSWAP.ASM	FELIX source code
35.56	4K	SINCOS.OBJ	A SIN-COS table
35.57	1K	SPIN.ASM	FELIX source code
35.58	1K	TABLE.ASM	FELIX source code
35.59	2K	TRACE.ASM	FELIX source code
35.60	1K	TRACE.COM	Pseudo-machine interpreter with trace.
35.61	2K	XTRA.ASM	FELIX source code

VOLUME 36	Assemblers, editors, text processor related programs, memory 
		bank boot and manager, misc. utilities,drivers for TDL software

36.1	7K	COMBINE.ASM	Combine multiple .asm files..
36.2	1K	COMBINE.COM	..and delete comments
36.3	4K	CPM-PEN.ASM	Convert CP/M to electric..
36.4	1K	CPM-PEN.COM	..pencil files
36.5	8K	FIND.ASM	Find ASCII string in 1 or..
36.6	1K	FIND.COM	..more files
36.7	1K	FIND.DOC	DOC on above
36.8	11K	L82.COM		ML80 Component
36.9	1K	LINES.COM	Count lines in an ASCII file
36.10	1K	LINES.DOC	DOC of above
36.11	6K	LINKASM.COM	ASM.COM with feature to link..
36.12	5K	LINKASM.DOC	..files together at assembly
36.13	1K	LIST.COM	List files with starting..
36.14	1K	LIST.DOC	..line number
36.15	10K	M81.COM		ML80 Component
36.16	11K	MAC6.AZM	I/O drivers for TDL..
36.17	2K	MAC6.COM	..macro assembler
36.18	4K	MAC6.DOC	..
36.19	8K	MBMBOT.ASC	Memory bank boot & mgmt
36.20	3K	MFACCESS.LIB	setup for..multiple files (ex: *.ASM)
36.21	2K	ML80.DOC	DOC on ML80 components
36.22	9K	ML80.REF	Reference material on ML80
36.23	3K	PEN-CPM.ASM	Electric Pencil to CP/M file..
36.24	1K	PEN-CPM.COM	..conversion program
36.25	2K	PEN-CPM.DOC	..
36.26	24K	POW.ASM		Source for text processor
36.27	5K	POWCMDS.POW	POW documentation
36.28	2K	POWTEXT.POW	More POW doc.
36.29	6K	SCRAMBLE.ASM	File encode/decode
36.30	2K	SCRAMBLE.DOC	Doc on above
36.31	17K	TED.COM		Nice CP/M text editor, with..
36.32	23K	TED.DOC		..built in help features.
36.33	10K	TOP.AZM		TDL Text output processor..
36.34	5K	TOP.PRN		..patches
36.35	3K	TOP.TOP		..
36.36	22K	XREF.ASM	Cross references .ASM files

VOLUME 37	CBASIC2 programs, Comprehensive arithmetic teaching programs,
		CRAPS program, some accounting programs, parts list program
		Basic interpreter keyword changer (not CBASIC)

37.1	3K	AREA.BAS	(1) Metric conversion in CBASIC
37.3	3K	CHAIN.BAS	(1) Menu program for arithmetic drills.
37.6	1K	COMPILE.SUB	(1) Compiles arith. drill progs
37.7	3K	CPUPARTS.BAS	(4) Data table for MANPARTS
37.8	41K	CRAPS.BAS	(2) Very complete program
37.9	1K	CRAPS.DOC	(2) DOC on above
37.11	3K	DEC1.BAS	(1) Arithmetic drill
37.23	3K	DECIMAL.BAS	(1) Arithmetic drill
37.26	3K	DISTANCE.BAS	(1) Metric conversions drill
37.28	5K	FORMULA.BAS	(1) Drill formulas, volume, etc
37.30	3K	FRAC1.BAS	(1) Arithmetic drill
37.38	4K	FRACTION.BAS	(1) Arithmetic drill
37.40	1K	GRADE.BAS	(1) Arith drill grading program
37.41	1K	HEADER.BAS	(1) %Include for drill progs.
